feature,x2_str,y_str
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 /'],1
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1'],9
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9'],0
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9 0'],+
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9 0 +'],6
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9 0 + 6'],6
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9 0 + 6 6'],0
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9 0 + 6 6 0'],/
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9 0 + 6 6 0 /'],9
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9 0 + 6 6 0 / 9'],5
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9 0 + 6 6 0 / 9 5'],7
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9 0 + 6 6 0 / 9 5 7'],=
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9 0 + 6 6 0 / 9 5 7 ='],4
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9 0 + 6 6 0 / 9 5 7 = 4'],8
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9 0 + 6 6 0 / 9 5 7 = 4 8'],9
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9 0 + 6 6 0 / 9 5 7 = 4 8 9'],/
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9 0 + 6 6 0 / 9 5 7 = 4 8 9 /'],3
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9 0 + 6 6 0 / 9 5 7 = 4 8 9 / 3'],3
"[[[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 ...

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]

 [[252 239 241]
  [252 239 241]
  [252 239 241]
  ...
  [252 239 241]
  [252 239 241]
  [252 239 241]]]",['s 9 2 8 / 1 9 0 + 6 6 0 / 9 5 7 = 4 8 9 / 3 3'],e
"[[[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 ...

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]]",['s'],9
"[[[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 ...

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]]",['s 9'],3
"[[[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 ...

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]]",['s 9 3'],/
"[[[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 ...

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]]",['s 9 3 /'],3
"[[[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 ...

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]]",['s 9 3 / 3'],8
"[[[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 ...

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]]",['s 9 3 / 3 8'],9
"[[[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 ...

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]]",['s 9 3 / 3 8 9'],+
"[[[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 ...

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]]",['s 9 3 / 3 8 9 +'],1
"[[[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 ...

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]]",['s 9 3 / 3 8 9 + 1'],8
"[[[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 ...

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]]",['s 9 3 / 3 8 9 + 1 8'],2
"[[[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 ...

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]]",['s 9 3 / 3 8 9 + 1 8 2'],/
"[[[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 ...

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]]",['s 9 3 / 3 8 9 + 1 8 2 /'],9
"[[[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 ...

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]]",['s 9 3 / 3 8 9 + 1 8 2 / 9'],3
"[[[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 ...

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]]",['s 9 3 / 3 8 9 + 1 8 2 / 9 3'],5
"[[[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 ...

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]]",['s 9 3 / 3 8 9 + 1 8 2 / 9 3 5'],=
"[[[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 ...

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]

 [[238 242 253]
  [238 242 253]
  [238 242 253]
  ...
  [238 242 253]
  [238 242 253]
  [238 242 253]]]",['s 9 3 / 3 8 9 + 1 8 2 / 9 3 5 ='],6
